"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"197","Diara","f","23",1,14,"p+g","r","bowl_displacement",337.09,102.48,128.87,191.896391752577,102.48
"198","Diara","f","23",1,14,"p+g","r","choice",260.22,75.71,173.575,173.796777777778,75.71
"199","Diara","f","23",1,14,"p+g","r","signaling",224.33,50.79,105.67,133.555154639175,50.79
"200","Diara","f","23",1,15,"p+g","l","addressing",380.27,259.7,324.05,325.465238095238,380.27
"201","Diara","f","23",1,15,"p+g","l","baiting",354.71,34.94,257.61,225.58952,354.71
"202","Diara","f","23",1,15,"p+g","l","bowl_displacement",366.74,150.28,259.605,254.879181818182,366.74
"203","Diara","f","23",1,15,"p+g","l","choice",263.1,88.19,223.21,210.593818181818,263.1
"204","Diara","f","23",1,15,"p+g","l","signaling",405.01,142.34,245.44,260.430869565217,405.01
"205","Diara","f","24",2,1,"p+g","r","addressing",426.67,107.86,252.27,250.14323943662,107.86
"206","Diara","f","24",2,1,"p+g","r","baiting",267.41,94.51,222.735,212.402136752137,94.51
"207","Diara","f","24",2,1,"p+g","r","bowl_displacement",436.15,159.06,225.99,241.699677419355,159.06
"208","Diara","f","24",2,1,"p+g","r","choice",357.63,108.52,209.66,231.150666666667,108.52
"209","Diara","f","24",2,1,"p+g","r","signaling",341.09,108.07,179.65,196.321219512195,108.07
"210","Diara","f","24",2,2,"p+g","l","addressing",268.16,245.98,263.06,261.821538461538,268.16
"211","Diara","f","24",2,2,"p+g","l","baiting",359.88,17.39,225.295,229.19599009901,359.88
"212","Diara","f","24",2,2,"p+g","l","bowl_displacement",290.97,82.94,204.04,196.481838235294,290.97
"213","Diara","f","24",2,2,"p+g","l","choice",244.99,53.29,151.98,145.705616438356,244.99
"214","Diara","f","24",2,2,"p+g","l","signaling",326.93,155.3,263.05,252.467226890756,326.93
"215","Diara","f","24",2,3,"control","l","addressing",176.24,173.22,174.86,174.901052631579,176.24
"216","Diara","f","24",2,3,"control","l","baiting",357.33,74.71,166.76,178.727990196078,357.33
"217","Diara","f","24",2,3,"control","l","bowl_displacement",315.38,61.13,172.535,176.376226415094,315.38
"218","Diara","f","24",2,3,"control","l","choice",253.72,74.07,160.5,157.274109589041,253.72
"219","Diara","f","24",2,3,"control","l","signaling",180.29,174.18,178,178.02813559322,180.29
"220","Diara","f","24",2,4,"p+g","r","addressing",222.5,143,190.53,190.800526315789,143
"221","Diara","f","24",2,4,"p+g","r","baiting",305.5,157.3,188.53,190.208139534884,157.3
"222","Diara","f","24",2,4,"p+g","r","bowl_displacement",326.49,115.08,180.98,194.268468468468,115.08
"223","Diara","f","24",2,4,"p+g","r","choice",333.63,48,194.45,187.724404761905,48
"224","Diara","f","24",2,4,"p+g","r","signaling",251.97,102.51,199,168.474653465347,102.51
"225","Diara","f","24",2,5,"p+g","r","addressing",303.45,246.31,248.865,254.139,246.31
"226","Diara","f","24",2,5,"p+g","r","baiting",303.76,128.02,255.705,241.787258064516,128.02
"227","Diara","f","24",2,5,"p+g","r","bowl_displacement",385.83,191.74,257.87,266.574966887417,191.74
"228","Diara","f","24",2,5,"p+g","r","choice",325.85,85.76,211.68,213.350253164557,85.76
"229","Diara","f","24",2,5,"p+g","r","signaling",283.22,149.29,247.415,220.150625,149.29
"230","Diara","f","24",2,6,"p+g","l","addressing",218.43,135.68,169.945,171.019285714286,218.43
"231","Diara","f","24",2,6,"p+g","l","baiting",242.37,33.49,212.955,213.516956521739,242.37
"232","Diara","f","24",2,6,"p+g","l","bowl_displacement",429.57,153.08,216.2,246.843333333333,429.57
"233","Diara","f","24",2,6,"p+g","l","choice",253.61,53.01,154.335,153.803387096774,253.61
"234","Diara","f","24",2,6,"p+g","l","signaling",361.27,154.68,324.05,286.463333333333,361.27
"235","Diara","f","24",2,7,"p+g","r","addressing",210.56,107.51,160.75,161.690909090909,107.51
"236","Diara","f","24",2,7,"p+g","r","baiting",340,60.01,220.46,229.280725388601,60.01
"237","Diara","f","24",2,7,"p+g","r","bowl_displacement",339.84,151.63,208.595,213.585666666667,151.63
"238","Diara","f","24",2,7,"p+g","r","choice",305.53,92.74,198.61,209.304938271605,92.74
"239","Diara","f","24",2,7,"p+g","r","signaling",288.02,82.69,135.955,147.239339622641,82.69
"240","Diara","f","24",2,8,"control","l","addressing",261.16,254.01,258.8,258.30375,261.16
"241","Diara","f","24",2,8,"control","l","baiting",322.56,180.46,229.935,223.527074468085,322.56
"242","Diara","f","24",2,8,"control","l","bowl_displacement",305.82,38.64,195.475,193.36875,305.82
"243","Diara","f","24",2,8,"control","l","choice",308.38,101.64,202.94,207.539315068493,308.38
"244","Diara","f","24",2,8,"control","l","signaling",264.57,250.03,256.255,256.930689655172,264.57
"245","Diara","f","24",2,9,"pointing","l","addressing",299.77,295.33,298.43,298.050833333333,299.77
"246","Diara","f","24",2,9,"pointing","l","baiting",366.23,145,234.7,240.13101010101,366.23
"247","Diara","f","24",2,9,"pointing","l","bowl_displacement",349.42,48.97,274.74,251.786496350365,349.42
"248","Diara","f","24",2,9,"pointing","l","choice",343.55,69,202.24,206.959315789474,343.55
"249","Diara","f","24",2,9,"pointing","l","signaling",438.91,197.21,210.62,264.247882352941,438.91
"250","Diara","f","24",2,10,"pointing","r","addressing",345.16,243.15,312.145,307.016,243.15
"251","Diara","f","24",2,10,"pointing","r","baiting",493.52,91.86,255.51,261.40754491018,91.86
"252","Diara","f","24",2,10,"pointing","r","bowl_displacement",318.75,120.17,275.98,269.543138686131,120.17
"253","Diara","f","24",2,10,"pointing","r","choice",362.54,113.31,211.115,231.806086956522,113.31
"254","Diara","f","24",2,10,"pointing","r","signaling",291.96,146.47,175.55,182.650555555556,146.47
"255","Diara","f","24",2,11,"pointing","r","addressing",299.67,219.49,266.89,266.773571428571,219.49
"256","Diara","f","24",2,11,"pointing","r","baiting",437.61,73.22,243.33,223.850571428571,73.22
"257","Diara","f","24",2,11,"pointing","r","bowl_displacement",296.01,170.47,274.77,270.475454545455,170.47
"258","Diara","f","24",2,11,"pointing","r","choice",360.03,94.56,200.11,208.941046511628,94.56
"259","Diara","f","24",2,11,"pointing","r","signaling",215.45,155.68,180.815,181.70256097561,155.68
"260","Diara","f","24",2,12,"pointing","l","addressing",355.01,268.87,285.51,295.442666666667,355.01
"261","Diara","f","24",2,12,"pointing","l","baiting",270.8,19.99,204.325,199.131049382716,270.8
"262","Diara","f","24",2,12,"pointing","l","bowl_displacement",350.21,39.04,263.505,226.918260869565,350.21
"263","Diara","f","24",2,12,"pointing","l","choice",307.39,71.61,185.76,182.722058823529,307.39
"264","Diara","f","24",2,12,"pointing","l","signaling",418.83,201.94,226.27,259.629252336449,418.83
"265","Diara","f","24",2,13,"control","l","addressing",228.3,224.25,226.115,226.129166666667,228.3
"266","Diara","f","24",2,13,"control","l","baiting",265.6,91.46,200.52,199.594302325581,265.6
"267","Diara","f","24",2,13,"control","l","bowl_displacement",365.53,149.96,211.76,209.7032,365.53
"268","Diara","f","24",2,13,"control","l","choice",254.94,75.51,206.23,189.644,254.94
"269","Diara","f","24",2,13,"control","l","signaling",228.78,224.18,225.84,225.862461538462,228.78
"270","Diara","f","24",2,14,"pointing","r","addressing",240.5,141.58,205.57,199.845555555556,141.58
"271","Diara","f","24",2,14,"pointing","r","baiting",457.87,54.62,249.87,238.349230769231,54.62
"272","Diara","f","24",2,14,"pointing","r","bowl_displacement",464.43,33.7,233.98,250.673801652893,33.7
"273","Diara","f","24",2,14,"pointing","r","choice",538.4,20.38,151.77,167.445021645022,20.38
"274","Diara","f","24",2,14,"pointing","r","signaling",372.57,64.69,293.28,237.766344086022,64.69
"275","Diara","f","24",2,15,"pointing","l","addressing",404.33,206.48,384.46,348.466363636364,404.33
"276","Diara","f","24",2,15,"pointing","l","baiting",466.54,33.54,191.07,210.815608108108,466.54
"277","Diara","f","24",2,15,"pointing","l","bowl_displacement",427.2,30.31,276.84,255.074825174825,427.2
